charger_id,longitude,latitude,site_id,total_duration,total_volume,avg_power
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTA1Mw==,145.11107576199998,-37.68940260235,0,9027.793040293038,63233.856837606836,7.001624989114085
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTA1Ng==,144.9263865,-37.7970088,1,11531.749999999996,253698.5,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTE4Mw==,145.2798645,-37.7969198,2,3412.1048850574707,23884.734195402296,7.000000000000002
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTE5MA==,144.9790394,-37.8481018,3,8759.999999999998,192720.0,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTIyMA==,145.010352201,-37.8127662263,4,6319.757583774249,139034.66684303348,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTIyMw==,145.1437916,-37.9280757,5,3765.0416666666656,82830.91666666667,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTM1Mw==,144.969709835,-37.7407540365,6,12837.047619047615,92426.74285714286,7.200000000000001
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTQ5,144.970213602,-37.741088379,7,20105.616402116397,1005280.8201058201,50.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTU1,145.13310656,-37.9147588465,8,10358.237179487176,227881.2179487179,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTU3,145.111186384,-37.8443555319,9,17565.886111111107,386449.4944444445,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTc4,144.920987406,-37.7236235654,10,9598.833333333328,211174.3333333333,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMTk5,145.1659471255,-37.6737003463,11,4304.666666666665,94702.66666666667,22.000000000000007
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjA0MA==,145.048507,-37.8455163,12,10414.247274706451,229113.44004354198,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzMx,145.0485327,-37.8454605,12,20421.75,147036.59999999998,7.200000000000001
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjEy,145.131922241,-37.9081282824,13,12879.301587301583,283344.6349206349,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjI1,145.102327214,-37.70229521,14,20721.70833333333,455877.5833333334,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjI3,144.776113513,-37.7519664785,15,18452.011452241713,406162.4186159843,22.0053754168104
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjI4,145.163750069,-37.8349550352,16,13031.464285714283,286692.21428571426,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjIx,144.9595931,-37.8158872,17,3901.458333333332,85832.08333333333,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjIz,145.0564007,-37.8288881,18,2767.6950549450544,12454.627747252747,4.500000000000001
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjM1,145.190599474,-37.9365950862,19,15742.82804232804,346782.21693121694,22.02591433487695
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjUzNQ==,144.925763704,-37.8283249067,20,15350.851006553645,383771.27516384114,25.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjYy,145.24536438533335,-37.87131771546667,21,24486.249999999993,538697.5,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMjg=,144.9229537,-37.7660288,22,5765.958333333331,126851.0833333333,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzAx,145.005075635,-37.7401084915,23,10207.999999999998,71455.99999999999,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzEz,145.0685473,-37.7591293,24,4506.166666666665,99135.66666666667,22.000000000000007
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzIx,144.992379382,-37.8481433149,25,10591.583333333332,233014.83333333334,22.000000000000007
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzM2MQ==,144.924002059,-37.7085048149,26,9517.83333333333,104696.16666666666,11.000000000000002
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzQ5Mw==,145.1227132,-38.1435406,27,3089.033088235293,67958.72794117646,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzQyNg==,145.164989,-37.875897,28,11478.300417175415,80348.10292022792,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzUyNQ==,145.01071494425,-37.813007983075,29,17595.316239316235,387507.6239316239,22.049485861182525
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzY1Nw==,145.030600394,-37.767083915,30,13842.723015138126,1107417.8412110503,80.00000000000001
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItMzg4OA==,145.0826588,-37.8861421,31,5429.833333333332,38008.833333333336,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDE1Mg==,144.935202959,-37.8224143844,32,11704.845759332577,257506.60670531672,22.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDE2,145.159594,-37.9058135,33,4949.628731343282,108891.83208955223,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDE5,144.885526826,-37.7136505213,34,30849.91666666666,10797470.833333334,350.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDEx,144.831557706,-37.8634220749,35,35040.0,1752000.0,50.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDI0,145.231898,-37.986473,36,3599.840836247085,25918.854020979023,7.200000000000003
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDM4Mw==,144.981272,-37.8543276,37,4677.342680825531,102901.53897816168,22.000000000000007
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDMx,145.124083208,-37.821678049,38,7567.232558139532,52970.62790697674,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDMy,145.250265719,-38.1069359,39,9484.462962962962,208789.16666666666,22.004276755672866
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDU0OQ==,144.99889245,-37.8178352208,40,7727.166666666665,54090.166666666664,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDU1MA==,144.9982549,-37.8181912,41,558.2499999999998,3907.749999999999,7.000000000000003
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDYx,145.073026,-37.7018751,42,2928.249999999998,20497.749999999996,7.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDc1,145.0436879,-37.8760732,43,11759.09259259259,587954.6296296295,50.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNDk3,145.070935,-37.678694,44,0.0,0.0,0.0
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNTA5,145.18007156,-37.9528594835,45,10215.74382716049,224746.36419753084,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNTE3NQ==,145.050275364,-37.9369555582,46,9937.650793650791,218628.31746031743,22.000000000000004
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNTQzOQ==,145.1398749,-37.9209923,47,2815.0694444444434,61931.527777777774,22.000000000000007
R3JhcGhxbDo6TG9jYXRpb25QcmVzZW50ZXItNTkw,145.104433007,-37.8540197685,48,5928.416666666665,62248.37500000001,10.500000000000004
