address,suburb,latitude,longitude,charger_name
6572 Maroondah Highway,yarck,-37.5772947,144.7161349,
Davies Street,ballarat,-37.8050281,144.9457629,
126 High Street ,heathcote,-37.7326399,144.733868,
Midland Highway,sebastopol,-37.8709314,145.0193037,
Jones Street,avenel,-37.8958126,144.6304628,
41-43 Albert Street,creswick,-37.8191777,145.0167539,
33 Forest St,castlemaine,-37.6303914,145.0273223,
7 High Street,harcourt,-37.8374349,145.1115353,
Pern Lane,leongatha,-38.1199326,145.3182716,
15 Mountjoy Parade,lorne,-37.6734151,145.0272333,
Lloyd Street,moe,-37.6132253,145.0980154,
Condon Street,bendigo,-37.720574,145.047976,
46 Kirkland Ave,euroa,-37.7639651,144.8287004,
144-158 Bromfield Street,colac,-38.0761008,145.1472438,
Station St,maryborough,-37.850401,144.5882783,
32 High Street,marong,-37.793821,144.5506713,
Station Road,foster,-37.5902461,144.9342136,
19 Willoby St,beaufort,-38.0067519,145.1779706,
Cnr Burke St & Wimmera Hwy,newbridge,-37.9715559,145.124582,
104 Hogan St,tatura,-38.1379689,145.1628252,
Davis St & George Street,heyfield,-37.8237397,144.7132186,
"77 Midland Hwy,",mooroopna,-37.7852115,144.5605697,
"8 Fraser St, ",shepparton,-37.7884948,144.5582739,
2 Bath Street,camperdown,-37.764834,144.8219857,
Denny Street,benalla,-37.8059585,144.9432551,
Storm Lane,inglewood,-37.7924237,144.5498933,
156 Grant Street,yarram,-38.1353489,145.1666795,
4 Purdy Ln,maffra,-37.6601922,144.9408062,
Canal Road,sale,-37.87076,145.65249,
438 High Street,echuca,-37.7821653,144.5503709,
62 High St,ararat,-38.0625563,145.5506248,
67 High St,wedderburn,-37.7917062,144.5494853,
Golden Street,st arnaud,-37.792199,144.5486025,
2 - 6 Docker St,wangaratta,-37.787905,144.5592084,
4994 Great Alpine RD,ovens,-37.8119107,144.8154073,
Skene Street,stawell,-38.1087492,145.2895959,
6619 Great Alpine Road,porepunkah,-37.5979507,145.0753657,
24 Wills St,bright,-37.6245646,145.0136597,
6 - 12 Hovell Street,yarrawonga,-37.9133914,145.1301259,
83 Wills St,dunkeld,-37.766817,144.8245105,
King George St,cohuna,-37.7062908,144.8039161,
Tongio Road,omeo,-37.8800365,144.6170498,
Fairview Street,wycheproof,-37.5432106,145.0085889,
1 -3 Albert St,kerang,-37.7200123,145.0271063,
5-13 Havelock Street,wodonga,-37.6755673,144.9898056,
Scoresby Street,hamilton,-37.8758579,145.1284529,
Stanley Street,albury,-37.5442344,145.0076408,
422 Wagga Road,lavington,-37.603329,144.9253134,
126 Baillie St,horsham,-38.102184,145.2949057,
Powell Street,jerilderie,-38.0097571,145.326648,
18 - 20 Woolcock Street,warracknabeal,-37.7853138,144.5406661,
Henty Street,portland,-37.9359053,145.2051222,
Lochiel Street,dimboola,-37.6804576,144.9123982,
Wolseley Street,orbost,-37.8379885,145.2121845,
Swift Street,holbrook,-37.7702694,144.9361781,
73 Greenham St,dartmoor,-37.705345,144.6794568,
12 Anzac Ave,edenhope,-37.8054372,145.3280915,
111 Nelson St,nhill,-37.6730847,144.9282577,
3 Snowy River Ave,jindabyne,-37.6403391,145.084278,
"104 Hogan Street, TATURA VIC 3614",Hume,-36.44025958,145.22606112,Tatura
"Midlands Golf and Bowls Club, Heinz Lane, INVERMAY VIC 3350",Grampians,-37.52782149,143.85749134,Invermay
"211 Lloyd St, MOE, VIC 3825",Gippsland,-38.18448829,146.23774702,Moe
"167 Tarcombe St, EUROA, VIC, 3666",Hume,-36.7426939,145.59148409,Euroa
"1778 Murray Valley Hwy, BARNAWARTHA NORTH VIC 3691",Hume,-36.06928001,146.72601676,Barnawartha North
"29-35 Louis St, AIRPORT WEST VIC 3042",Port Phillip,-37.71423527,144.88602331,Airport West
"Council Office and Public Carpark, 9 Smith Street, LEONGATHA VIC 3953",Gippsland,-38.47561889,145.94495803,Leongatha
"Town Centre Carpark, 24 Commercial Street, KORUMBURRA VIC 3950",Gippsland,-38.43248309,145.82462257,Korumburra
"112 Kingsway, GLEN WAVERLEY VIC 3150",Port Phillip,-37.88227576,145.16385293,Glen Waverley
"Euneva Car Park, GLEN WAVERLEY VIC 3150",Port Phillip,-37.87858613,145.16247276,Glen Waverley
"41 Millers Crescent, MOUNT WAVERLEY VIC 3149",Port Phillip,-37.87449931,145.12754824,Mount Waverley
"50 Learmonth Street, QUEENSCLIFF VIC 3225",Barwon South West,-38.26767098,144.65878459,Queenscliff
"Town Centre Carpark, 22 Station Road, FOSTER VIC 3960",Gippsland,-38.65339696,146.20148586,Foster
"1 McMillan St, Anglesea VIC 3230",Barwon South West,-38.409774,144.184861,Anglesea
"Main Road, BUCHAN VIC 3885",Gippsland,-37.499031,148.172035,Buchan
