LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_,longitude,latitude
Winchelsea,Barwon South West,Surf Coast Shire Council,-38.240486,September 2025,"1B Willis St/Barwon Terrace, Winchelsea",,143.991042,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Accommodation, Public Swimming Pool",NO,,https://www.plugshare.com/location/1104812,1.0,143.99116801200012,-38.24053653799996
Warrnambool,Barwon South West,Warrnambool City Council,-38.38940775,30 March 2024,"Warrnambool Visitor Information Centre, 89 Merri Street, WARRNAMBOOL VIC 3280","1 x CCS2, 1 x CHAdeMO",142.48503475,1 x 50kW Fast Charger,"Visitor Information Centre, Playground, Park, Public Toilets, Lookout, Foreshore Reserve, Art Gallery, Dining, Shopping, Wetlands, Hot Springs, Foreshore Promenade, Mini Golf, Accommodation, Supermarket",NO,,https://www.plugshare.com/location/568217,1.0,142.48503475000007,-38.389407749999975
Aireys Inlet,Barwon South West,Surf Coast Shire Council,-38.45606232,May 2026,"Aireys Inlet Community Centre, 6 Great Ocean Road, AIREYS INLET VIC 3230",,144.10832958,1 x 50kW Fast Charger,"Park, Playground, Dining, Accommodation, Shopping, Coastal Reserve, Art Gallery, Supermarket, Lookout",YES,,,1.0,144.10832958000003,-38.456062319999944
Mansfield,Hume,Mansfield Apartments,-37.05134578,,"Level 1, 30 Nolan Street, MANSFIELD VIC 3722",2 x Type 2,146.08966778,2 x 22kW Charger,"Park, Playground, Public Toilets, Visitor Information Centre, Botanic Gardens, Dining, Shopping, Recreation Reserve, Accommodation, Supermarket",NO,Mansfield Apartments,https://www.plugshare.com/location/426671,2.0,146.08966778,-37.05134577999996
,,,,,,,,,,,,,,147.05290072900004,-37.41509022699995
,,,,,,,,,,,,,,148.02271247200008,-36.98891138099998
,,,,,,,,,,,,,,147.00992588000008,-37.37289542899998
Melbourne,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.82245858,30 June 2024,"Australian Ballet Theatre - 2 Kavanagh St, Southbank VIC 3006",1 x Type 2,144.96891707,1 x 22kW Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Botanic Gardens, Museum, Accommodation",NO,,,1.0,144.9671738710001,-37.822763254999984
Cobram,Hume,Moira Shire Council,-35.92029708,21/01/2023,"Federation Park, Punt Road, COBRAM VIC 3644","1 x CCS2, 1 x CHAdeMO",145.64434862,1 x 50kW Fast Charger,"Park, Playground, Recreation Reserve, Public Toilets, Supermarket, Shopping, Accommodation",NO,,,1.0,145.64496249500007,-35.920967332999965
Grovedale,Barwon South West,City of Greater Geelong,-38.19683893,13/06/2023,"240 Pioneer Road, GROVEDALE VIC 3216","1 x CCS2, 1 x CHAdeMO",144.32015927,2 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping, Aquatic and Recreation Centre",NO,City of Greater Geelong,https://www.plugshare.com/location/352806,2.0,144.3201592700001,-38.196838929999956
Drysdale,Barwon South West,City of Greater Geelong,-38.188427,31/07/2023,"30 Penisula Drive, Drysdale VIC 3216","1 x CCS2, 1 x CHAdeMO",144.555593,2 x 50kW Fast Charger,"Sports Precinct, Nature Reserve, Public Toilets, Aquatic Centre, Schools",NO,City of Greater Geelong,https://www.plugshare.com/location/551878,2.0,144.55546030000005,-38.18965454599993
Heathcote,Loddon Mallee,Evie Networks,-36.92407151,31 October 2023,"126 High Street, HEATHCOTE VIC 3523","1 x CCS2, 1 x CHAdeMO",144.71049727,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/560709,1.0,144.71049727000002,-36.924071509999976
Ballarat Central,Grampians,,-37.56115436,,"61 Curtis St, BALLARAT CENTRAL VIC 3350",4 x CHAdeMO and 4 x CCS2/SAE,143.86274767,"2 x 350kW Ultra Rapid Chargers, 2 x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/240468,4.0,143.8627476700001,-37.56115435999993
Horsham,Grampians,,-36.71153251,,"126 Baillie St, HORSHAM VIC 3400",4 x CHAdeMO and 4 x CCS2/SAE,142.20194493,"2 x 350kW Ultra Rapid Chargers,  4x 50kW Fast Chargers",,NO,Chargefox,https://www.plugshare.com/location/208513,4.0,142.20194493000008,-36.711532509999984
Kerang,Loddon Mallee,,-35.73437546,,"Albert St (Car Park), KERANG VIC 3579",1 x CHAdeMO and 1 x CCS2/SAE,143.9215653,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/310767,1.0,143.9215653000001,-35.73437545999997
Maryborough,Loddon Mallee,,-37.05131349,,"Maryborough Railway Station, Station St, MARYBOROUGH VIC 3465",1 x CHAdeMO and 1 x CCS2/SAE,143.74211386,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/303802,1.0,143.74211386000002,-37.051313489999984
Echuca,Loddon Mallee,,-36.12731021,,"438 High St, ECHUCA VIC 3564",2 x CHAdeMO and 2 x CCS2/SAE,144.74815756,"1 x 75kW Fast Charger, 1 x 25kW Charger",,NO,Evie Networks,https://www.plugshare.com/location/316668,2.0,144.7481575600001,-36.12731020999996
Cohuna,Loddon Mallee,,-35.80844516,,"Gateway Visitor Centre King George St, COHUNA VIC 3568",1 x CHAdeMO and 1 x CCS2/SAE,144.22137154,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/323306,1.0,144.22137154000006,-35.80844515999996
Inglewood,Loddon Mallee,,-36.5754726,,"Storm Lane, INGLEWOOD VIC 3517",1 x CHAdeMO and 1 x CCS2/SAE,143.86755329,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/308988,1.0,143.86755329000005,-36.575472599999955
