LOCATION,REGION,LEAD_ORGAN,LATITUDE,ESTIMATED_,ADDRESS,PLUG_TYPE,LONGITUDE,CHARGERS,NEARBY_AME,DCAV_SITE,COMPANY,PLUGSHARE_,NUMBER_OF_,longitude,latitude
Belgrave,Port Phillip,Evie Networks,-37.90827979,31/07/2023,"Reynolds Lane, BELGRAVE VIC 3160","1 x CCS2, 1 x CHAdeMO",145.35348274,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Scenic Train, Supermarket, Shopping, Dining, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/534323,1.0,145.35348273700004,-37.90827979199997
Benalla,Hume,Evie Networks,-36.55063729,15 October 2023,"Denny Street Car Park, Denny Street, BENALLA VIC 3672","1 x CCS2, 1 x CHAdeMO",145.98409324,1 x 50kW Fast Charger,"Visitor Information Centre, Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation, Aquatic Centre, Art Gallery, Museum",NO,Evie Networks,https://www.plugshare.com/location/513086,1.0,145.9840932410001,-36.55063728599998
Bright,Hume,Evie Networks,-36.72911524,31/07/2023,"24 Wills Street, BRIGHT VIC 3741","1 x CCS2, 1 x CHAdeMO",146.96221097,1 x 50kW Fast Charger,"Park, Playground, Dining, Shopping, Accommodation, Supermarket, Public Toilets",NO,,https://www.plugshare.com/location/512324,1.0,146.9622109720001,-36.72911523799996
Bruthen,Gippsland,Evie Networks,-37.708246,February 2024,"79 Main Street, BRUTHEN VIC 3885","1 x CCS2, 1 x CHAdeMO",147.834395,1 x 50kW Fast Charger,"Recreation Reserve, Public Toilets, Dining, Accommodation, Camping",NO,Evie Networks,https://www.plugshare.com/location/548567,1.0,147.8343950000001,-37.708245999999974
Camperdown,Barwon South West,Evie Networks,-38.2303752,31/07/2023,"2 Bath Street, CAMPERDOWN VIC 3260","1 x CCS2, 1 x CHAdeMO",143.14585096,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Museum, Shopping, Supermarket, Accommodation, Public Swimming Pool",NO,,https://www.plugshare.com/location/516153,1.0,143.14585095600012,-38.23037520199995
Corryong,Hume,Evie Networks,-36.19561488,30 November 2023,"19 Hanson Street, CORRYONG VIC 3707","1 x CCS2, 1 x CHAdeMO",147.90632646,1 x 50kW Fast Charger,"Park, Playground, Dining, Shopping, Museum, Recreation Reserve, Lookout, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/516364,1.0,147.90632646000006,-36.19561487699997
Dartmoor,Barwon South West,Evie Networks,-37.92223914,,"73 Greenham Street, DARTMOOR VIC 3304","1 x CCS2, 1 x CHAdeMO",141.27620469,1 x 50kW Fast Charger,"Park, Playground, Recreation Reserve, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/484348,1.0,141.27620469200008,-37.92223914199997
Dunkeld,Barwon South West,Evie Networks,-37.65057842,31/07/2023,"83 Wills Street, DUNKELD VIC 3294","1 x CCS2, 1 x CHAdeMO",142.34282892,1 x 50kW Fast Charger,"Park, Visitor Information Centre, Public Toilets, Dining, Museum, Accommodation",NO,,https://www.plugshare.com/location/520436,1.0,142.3428289200001,-37.65057842199997
Edenhope,Grampians,Evie Networks,-37.03671332,,"12 Anzac Avenue, EDENHOPE VIC 3318","1 x CCS2, 1 x CHAdeMO",141.29654931,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Nature Conservation Reserve, Shopping, Dining, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/473849,1.0,141.29654931000005,-37.036713317999954
Flinders,Port Phillip,Evie Networks,-38.47447131,31 July 2023,"33 Cook St, Flinders VIC 3929","1 x CCS2, 1 x CHAdeMO",145.0188104,1 x 50 kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/531949,1.0,145.01881040000012,-38.474471311999935
Hamilton,Barwon South West,Evie Networks,-37.742503,May 2024,"Hamilton & Grampians Visitor Information Centre, 86 Hamilton Place HAMILTON VIC 3300","1 x CCS2, 1 x CHAdeMO",142.020573,1 x 50kW Fast Charger,"Park, Playground, Shopping, Dining, Visitor Information Centre, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/517591,1.0,142.02062648800006,-37.742567091999945
Hastings,Port Phillip,Evie Networks,-38.30799985,,"34 King Street, HASTINGS VIC 3915","1 x CCS2, 1 x CHAdeMO",145.19192568,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Reserve, Supermarket, Dining, Foreshore, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/464393,1.0,145.19192568500011,-38.307999852999956
Kaniva,Grampians,Evie Networks,-36.3778351,,"13 Madden Street N, KANIVA VIC 3419","1 x CCS2, 1 x CHAdeMO",141.2383918,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Accommodation, Recreation Reserve, Wetlands and Fauna Park",NO,Evie Networks,https://www.plugshare.com/location/472390,1.0,141.23839180000004,-36.37783509999997
Scoresby,Port Phillip,Chargebay Pty Ltd,-37.91258232,November 2024,"38 Dalmore Drive, SCORESBY VIC 3179","2 x Type 2, 2 x CCS2",145.21869896,"2 x 22kW Charger, 1 x 50kW Fast Charger","Park, Playground, Public Toilets, Adventure Park, Dining, Accommodation",NO,Chargebay,https://www.plugshare.com/location/413451,3.0,145.2179638570001,-37.91590311799996
Kyneton,Loddon Mallee,Evie Networks,-37.24900241,30 September 2023,"6 Baynton Street, KYNETON VIC 3444",2 x CCS2,144.45216565,1 x 50kW Fast Charger,"Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/533767,1.0,144.4521656510001,-37.24900240599993
Lakes Entrance,Gippsland,Evie Networks,-37.88237508,31/07/2023,"2 Marine Parade, LAKES ENTRANCE VIC 3909","1 x CCS2, 1 x CHAdeMO",147.97339408,1 x 50kW Fast Charger,"Park, Dining, Museum, Supermarket, Shopping, Public Toilets, Accommodation, Recreation Reserve",NO,,https://www.plugshare.com/location/461335,1.0,147.97339408000005,-37.88237507799994
Lancefield,Loddon Mallee,Evie Networks,-37.27748273,31/07/2023,"4 The Crescent, LANCEFIELD VIC 3435","1 x CCS2, 1 x CHAdeMO",144.73502968,1 x 50kW Fast Charger,"Dining, Shopping, Accommodation, Supermarket",NO,Evie Network,https://www.plugshare.com/location/538062,1.0,144.73502968000003,-37.277482728999985
Macedon,Loddon Mallee,Evie Networks,-37.42330258,31/07/2023,"Smith Street Roadside Parking, MACEDON VIC 3440","1 x CCS2, 1 x CHAdeMO",144.56252778,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/535986,1.0,144.56252778400005,-37.42330258299995
Maffra,Gippsland,Evie Networks,-37.96724773,31/07/2023,"4 Purdy Lane, MAFFRA VIC 3860","1 x CCS2, 1 x CHAdeMO",146.97484217,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Recreational Reserve, Museum, Visitor Information Centre, Dining, Shopping, Supermarket",NO,,https://www.plugshare.com/location/482864,1.0,146.9748421700001,-37.967247731999976
Meredith,Grampians,Evie Networks,-37.84428082,,"12 Wallace Street, Meredith VIC 3333","1 x CCS2, 1 x CHAdeMO",144.0767955,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket",NO,Evie Networks,https://www.plugshare.com/location/305837,1.0,144.07679550000012,-37.84428081799996
Mildura,Loddon Mallee,Evie Networks,-34.18359286,31/07/2023,"60-76 Pine Avenue, MILDURA VIC 3500",2 x CCS2,142.1584515,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/473475,1.0,142.15845150000007,-34.18359285599996
Nagambie,Hume,Evie Networks,-36.78407156,31/07/2023,"332 High Street, NAGAMBIE VIC 3608","1 x CCS2, 1 x CHAdeMO",145.15436424,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Brewery, Dining, Shopping, Lake, Waterfront Lookout, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/516377,1.0,145.15436424000006,-36.78407156299994
Paynesville,Gippsland,Evie Networks,-37.91912927,31/07/2023,"3 Raymond Street, PAYNESVILLE VIC 3880","1 x CCS2, 1 x CHAdeMO",147.7230338,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Beach, Reserve, Dining, Supermarket, Accommodation, Shopping",NO,Evie Networks,https://www.plugshare.com/location/479851,1.0,147.723033804,-37.91912927299995
Rosanna,Port Phillip,Banyule City Council,-37.742522,19 May 2023,"Bellevue Parade Car Park, Rosanna, VIC, 3084","1 x CCS2, 1 x CHAdeMO",145.064388,22 kW,"Park, Playground, Cafes, Dining",NO,Banyule City Council,https://www.plugshare.com/location/488465,1.0,145.06438800000012,-37.74252199999995
St Arnaud,Grampians,Evie Networks,-36.61459,February 2024,"9 Walker Street, ST ARNAUD VIC 3477","1 x CCS2, 1 x CHAdeMO",143.25763,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Public Swimming Pool, Museum, Dining, Shopping, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/619698,1.0,143.25763288400003,-36.61458940999995
Stawell,Grampians,Evie Networks,-37.05688991,January 2024,"24 Sloane Street, STAWELL VIC 3380","1 x CCS2, 1 x CHAdeMO",142.78116253,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/577113,1.0,142.78116253000007,-37.056889911999974
Torquay,Barwon South West,Evie Networks,-38.33122194,December 2023,"2 Walker Street, TORQUAY VIC 3228",2 x CCS2,144.3249256,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation, Lookout",NO,,https://www.plugshare.com/location/553593,1.0,144.32492560000003,-38.33122193999998
Traralgon,Gippsland,Evie Networks,-38.19566665,31/07/2023,"49 Breed Street, TRARALGON VIC 3844","1 x CCS2, 1 x CHAdeMO",146.53296101,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Visitor Information Centre, Accommodation",NO,,https://www.plugshare.com/location/500260,1.0,146.53296100900002,-38.195666650999954
Wallan,Hume,Evie Networks,-37.413842,31/07/2023,"65 High Street, WALLAN VIC 3756","1 x CCS2, 1 x CHAdeMO",144.979171,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Shopping, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/538399,1.0,144.97917100000006,-37.41384199999993
Wangaratta,Hume,Evie Networks,-36.35499491,,"2-6 Docker Street, WANGARATTA VIC 3677",2 x CCS2,146.32244245,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Supermarket, Art Gallery, Museum, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/473744,1.0,146.32244244900005,-36.35499491499996
Warracknabeal,Grampians,Evie Networks,-36.25068331,31/07/2023,"18 Woolcock Street, WARRACKNABEAL VIC 3393","1 x CCS2, 1 x CHAdeMO",142.39394073,1 x 50kW Fast Charger,"Dining, Shopping, Leisure Centre, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/532136,1.0,142.39394073000005,-36.25068330899995
Wodonga,Hume,Evie Networks,-36.12168259,30 November 2023,"Acacia Car Park Public Toilet, Lot 2 High Street, WODONGA VIC 3690",2 x CCS2,146.88663124,1 x 50kW Fast Charger,"Parking, Park, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/574382,1.0,146.88663123700007,-36.12168258699995
Yarrawonga,Hume,Evie Networks,-36.01003228,31/07/2023,"12 Hovell Street, YARRAWONGA VIC 3730","1 x CCS2, 1 x CHAdeMO",146.00323609,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Shopping, Dining, Supermarket, Accommodation",NO,,https://www.plugshare.com/location/519068,1.0,146.0032360900001,-36.01003227499996
Yarra Junction,Port Phillip,Evie Networks,-37.780951,31 October 2023,"Yarra Junction Reserve East, 1 Park Road, YARRA JUNCTION, VIC 3797","1 x CCS2, 1 x CHAdeMO",145.613107,50 kW,"Walking Trail, Shopping, Cafes, Restaurants, Accommodation, Public Toilets, Recreation Reserve",NO,Evie Networks,https://www.plugshare.com/location/554207,1.0,145.613107,-37.78095099999996
Broadford,Hume,,-37.203,,"113 High Street, BROADFORD VIC 3658","1 x CCS2, 1 x CHAdeMO",145.04897,1 x 25kW Charger,,NO,Mitchell Shire Council,https://www.plugshare.com/location/470791,1.0,145.0489701030001,-37.20299982299997
Hopetoun,Grampians,Evie Networks,-35.726807,30 November 2023,"67 Lascelles St, HOPETOUN VIC 3396","1 x CCS2, 1 x CHAdeMO",142.364256,1 x 50kW Fast Charger,"Supermarket, Public Toilet, Cafes",NO,Evie Networks,https://www.plugshare.com/location/575525,,142.36425341900008,-35.72680823299993
Leongatha,Gippsland,Evie Networks,-38.477628,December 2023,"66 McCartin Street, LEONGATHA VIC 3953",2 x CCS2,145.943608,1 x 50kW Fast Charger,"Supermarkets, Cafes, Playgrounds, Parks",NO,Evie Networks,https://www.plugshare.com/location/577111,,145.94360411900004,-38.47762470499998
Korumburra,Gippsland,Evie Networks,-38.434162,December 2023,"7 Mine Rd, KORUMBURRA VIC 3950",2 x CCS2,145.825097,1 x 50kW Fast Charger,"Supermarket, Cafes, Restaurants,",NO,Evie Networks,https://www.plugshare.com/location/577108,,145.82525932800002,-38.43425065499997
Fish Creek,Gippsland,Evie Networks,-38.693699,November 2023,"2 Foster Road, FISH CREEK VIC 3959","1 x CCS2, 1 x CHAdeMO",146.084281,1 x 50kW Fast Charger,"Public Toilet, Parks, Cafes, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/554224,,146.08427739,-38.693695280999975
Rutherglen,Hume,Evie Networks,36.054549,March 2024,"113 Murray St, RUTHERGLEN VIC 3685","1 x CCS2, 1 x CHAdeMO",146.458643,1 x 50kW Fast Charger,"Public Toilets, Recreation Reserve, Parklands, Swimming Pool, Cafes, Accommodation",NO,Evie Networks,https://www.plugshare.com/location/619703,,146.45875620800007,-36.054448341999944
Apollo Bay,Barwon South West,Evie Networks,-38.758015,January 2024,"14 Pascoe Street, Apollo Bay VIC 3233","1 x CCS2, 1 x CHAdeMO",143.66911,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Beach, Accommodation, Supermarket, Dining, Shopping",NO,,https://www.plugshare.com/location/585476,,143.66888252400008,-38.75829042999993
Murrayville,Loddon Mallee,,-35.263623,,"3-7 Reed St, Murrayville VIC 3512",1 x CHAdeMO and 1 x CCS2/SAE,141.183094,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/577114,,141.18313979100003,-35.26362985499998
Chiltern,Hume,Evie Networks,-36.149332,April 2024,"3 Crawford St, Chiltern VIC 3683","1 x CCS2, 1 x CHAdeMO",146.610632,1 x 50kW Fast Charger,"Public Toilets, Library, Cafes, Accommodation, Swimming Pool, Recreation Reserve",NO,Evie Networks,https://www.plugshare.com/location/619704,,146.61078629200006,-36.14926867099996
Cranbourne East,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-38.111762,July 2025,"Casey Recreation and Aquatic Centre - 65 Berwick-Cranbourne Rd, Cranbourne East, VIC 3977",1 x Type 2,145.294761,1 x 22kW Charger,"Recreation and Aquatic Centre, Stadium, Skatepark",NO,,,1.0,145.29486149900004,-38.11183133999998
Trentham,Grampians,Chargefox Pty Ltd,-37.389207,31 July 2024,"66 High Street, TRENTHAM VIC 3458",2 x CCS2,144.325248,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Recreation Reserve, Dining",NO,Chargefox,https://www.plugshare.com/location/634771,1.0,144.32547320900005,-37.388399738999965
Camberwell,Port Phillip,Boroondara City Council,-37.84981,28 February 2024,"238A Warrigal Rd, Camberwell VIC 3146","1 x CCS2, 1 x CHAdeMO",145.095568,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Accommodation, Shopping, Dining, Supermarket",NO,,https://www.plugshare.com/location/554215,1.0,145.09553696900002,-37.84981485299994
Richmond,Port Phillip,Yarra City Council,-37.825198,December 2024,"Richmond Library - 415 Church St, Richmond VIC 3121",2 x CCS2,144.998666,2 x 75kW Charger,"Park, Public Toilets, Shopping, Dining, Supermarket",NO,Yarra City Council,https://www.plugshare.com/location/723880,2.0,144.99865015700004,-37.825197953999975
Lorne,Barwon South West,Surf Coast Shire Council,-38.53662282,December 2024,"Lorne Visitor Information Centre, 15 Mountjoy Parade, LORNE VIC 3232","1 x CCS2, 1 x CHAdeMO",143.97398396,1 x 50kW Fast Charger,"Visitor Information Centre, Camping, Dining, Shopping, Supermarket, Park, Playground, Public Toilets, Walking Trail, Dog Beach, Sea Baths, Accommodation, Coastal Reserve, Walking Trails",NO,Surf Coast Shire Council,https://www.plugshare.com/location/553604,1.0,143.97398396000006,-38.536622819999934
Cranbourne East,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-38.12339,June 2025,"Melbourne City Football Club - 369 Casey Fields Blvd, Cranbourne East VIC 3977",Type 2,145.310282,2 x 22kW Charger,"Playing fields, Parks, Supermarket",NO,,,2.0,145.31025503700005,-38.123390635999954
The Basin,Port Phillip,Evie Networks,-37.856136,April 2025,"368 Forest Rd, The Basin VIC 3154","2 x CCS2,",145.315238,75 kW,"Shopping, Cafes, Restaurants, Accommodation, Public Toilets, Recreation Reserve, Playground",NO,,https://www.plugshare.com/location/836514,,145.3151753620001,-37.856223634999935
Preston,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.746026,May 2025,"Novotel Melbourne Preston - 215 Bell Street, Preston",1 x Type 2,145.008211,1 x 22kW Charger,"Post Office, Playground, Accommodation, Tram stop",NO,,https://www.plugshare.com/location/824055,1.0,145.00817983900004,-37.74606501699998
Melbourne City,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.817892,May 2025,"Wilson Parking - Federation Square - Russell St Ext, Melbourne VIC 3000",1 x Type 2,144.971265,1 x 22kW Charger,"Gallery, Playground, Public Bathroom, Cafes, Restaurants",NO,,https://www.plugshare.com/location/901310,2.0,144.9708604210001,-37.81794427899996
Albert Park,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-37.844604,December 2025,"Melbourne Sports and Recreation Centre - 375 Albert Rd, Albert Park VIC 3206",2 x Type 2,144.96197,2 x 22kW Charger,"Parks, Sports and Aquatic Centre, Lakeside Stadium, Golf Course, Cafes, Restaurants",NO,,https://www.plugshare.com/location/1420723,2.0,144.96121898500007,-37.841361493999955
Braeside,Port Phillip,INTELLIHUB AUSTRALIA Pty Ltd,-38.000874,December 2025,"Freccia Azzurra Club - 784-796 Springvale Rd, Braeside VIC 3195",2 x Type 2,145.141363,2 x 22kW Charger,"Playing fields, playground, cultural centres, retail",NO,,https://www.plugshare.com/location/1139732,2.0,145.14158891500006,-38.00038793199997
Grantville,Gippsland,Bass Coast Shire Council,-38.40694709,,"Grantville Transaction Centre, 1504-1510 Bass Highway, GRANTVILLE VIC 3984","1 x CCS2, 1 x CHAdeMO",145.53011609,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Dining, Supermarket, Foreshore Reserve, Recreation Reserve",NO,Bass Coast Shire Council,https://www.plugshare.com/location/553600,1.0,145.5301160900001,-38.40694708999996
Newhaven,Gippsland,Bass Coast Shire Council,-38.51501587,,"Newhaven Visitor Centre, 895 Phillip Island Road, NEWHAVEN VIC 3925","1 x CCS2, 1 x CHAdeMO",145.3477915,1 x 60kW Fast Charger,"Tourist Information Centre, Park, Playground, Public Toilets, Coastal Reserve, Dining, Accommodation",NO,Bass Coast Shire Council,https://www.plugshare.com/location/553599,1.0,145.34779150000008,-38.51501586999996
Bannockburn,Barwon South West,,-38.047304,,"29 High St, Bannockburn VIC 3331","1 x CCS2, 1 x CHAdeMO",144.170663,1 x 50kW Fast Charger,,NO,Evie Networks,https://www.plugshare.com/location/563933,1.0,144.17065996400004,-38.04734585299997
Lakes Entrance,Gippsland,East Gippsland Shire Council,-37.880482,,"12 Mechanics Street, LAKES ENTRANCE VIC 3909","1 x CCS2, 1 x CHAdeMO",147.985919,1 x 50kW Fast Charger,"Park, Playground, Public Toilets, Aqua Park, Recreation Reserve & Camping Ground, Jetty, Lookout, Off-Leash Dog Park, Dining, Shopping, Accommodation, Supermarket",NO,,https://www.plugshare.com/location/1552729,1.0,147.98592459200006,-37.880534670999964
Yarram,Gippsland,Wellington Shire Council,-38.564517,,"Yarram District Hub, 156 Grant Street, YARRAM VIC 3971","1 x CCS2, 1 x CHAdeMO",146.674722,1 x 50kW Fast Charger,"Park, Public Toilets, Accommodation, Dining, Shopping, Supermarket, Art Gallery",NO,,https://www.plugshare.com/location/425045,1.0,146.67470651500003,-38.56447819999994
Inverloch,Gippsland,Bass Coast Shire Council,-38.634808,March 2026,"Bunurong Environment Centre - 3 Ramsey Boulevard, INVERLOCH VIC 3996","1 x CCS2, 1 x CHAdeMO",145.728857,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Accommodation, Dog Beach, Camping",NO,,https://www.plugshare.com/location/554222,1.0,145.72887189200003,-38.63477018699996
Wonthaggi,Gippsland,Bass Coast Shire Council,-38.60364272,February 2026,"Wonthaggi Arts Space, 1 Bent Street, WONTHAGGI VIC 3995","1 x CCS2, 1 x CHAdeMO",145.59365446,1 x 60kW Fast Charger,"Park, Playground, Public Toilets, Dining, Shopping, Bushland Reserve, Walking Trails, Recreation Reserve, Aquatic and Leisure Centre, Accommodation",NO,Bass Coast Shire Council,https://www.plugshare.com/location/651479,1.0,145.59365446000004,-38.60364271999998
RACV Torquay Resort,Barwon South West,,-38.34038,,"1 Great Ocean Road, Jan Juc, VIC 3228",CCS2,144.310827,2 x 175kW ultra-rapid Charger; 2 x 50kW Fast Charger;,,NO,Chargefox,https://www.plugshare.com/location/72031,4.0,144.3108439550001,-38.340372000999935
Moorabbin Homemaker Centre,Port Phillip,Intellihub Australia,-37.939276,October 2026,"970 Nepean Hwy, Moorabbin VIC 3198",CCS2,145.037624,2 x 60kW,"Shopping Centre, Playground, Sports Field",YES,,,4.0,145.037616887,-37.93926315999994
Eastwood Village Shopping Centre,Gippsland,Intellihub Australia,-37.811845,November 2026,"30 Howitt Avenue, Eastwood, VIC 3875",CCS2,147.63119,2 x 60kW,"Shopping Centre, Supermarket, Playground, Park",YES,,,4.0,147.63119398100002,-37.811855666999975
Sunshine Marketplace,Port Phillip,Intellihub Australia,-37.781743,November 2026,"80 Harvester Rd, Sunshine VIC 3020",CCS2,144.830859,2 x 60kW,"Shopping Centre, Supermarket, Cinema, Gym, Swimming Pool, Train station",YES,,,4.0,144.83093321,-37.78175458199996
Yackandandah Sports Park,Hume,Totally Renewable Yackandandah,-36.317291,June 2026,"Yackandandah Sports Park Complex, Yackandandah VIC 3749",Type 2,146.836298,1 x 7kW,"Sports field, Tennis courts, Scout Hall",YES,,,1.0,146.836417535,-36.31734679799996
